Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:25:47,2018-03-22 16:26:44,"57,275s",PASSED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:25:48,2018-03-22 16:26:42,"54,118s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:25:48,2018-03-22 16:25:54,"5,027s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:25:54,2018-03-22 16:25:55,"1,214s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:25:55,2018-03-22 16:26:37,"42,545s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:26:37,2018-03-22 16:26:39,"2,039s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:26:39,2018-03-22 16:26:40,"0,259s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:26:40,2018-03-22 16:26:40,"0,149s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:26:40,2018-03-22 16:26:42,"2,022s",PASSED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:26:42,2018-03-22 16:26:44,"1,785s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:26:42,2018-03-22 16:26:43,"1,232s",PASSED
takeScreenshot,Chrome 64.0.3282.167,,2018-03-22 16:26:43,2018-03-22 16:26:44,"0,325s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-22 16:26:44,2018-03-22 16:26:44,"0,002s",NOT_RUN
