Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:12:42,2018-03-22 16:13:05,"22,629s",PASSED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:12:43,2018-03-22 16:13:02,"19,208s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:12:43,2018-03-22 16:12:47,"3,694s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:12:47,2018-03-22 16:12:48,"1,178s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:12:48,2018-03-22 16:12:58,"10,041s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:12:58,2018-03-22 16:12:59,"1,552s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:12:59,2018-03-22 16:13:00,"0,261s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:13:00,2018-03-22 16:13:00,"0,156s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:13:00,2018-03-22 16:13:02,"1,950s",PASSED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:13:02,2018-03-22 16:13:04,"1,986s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:13:02,2018-03-22 16:13:03,"1,392s",PASSED
takeScreenshot,Chrome 64.0.3282.167,,2018-03-22 16:13:03,2018-03-22 16:13:04,"0,329s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-22 16:13:04,2018-03-22 16:13:04,"0,002s",NOT_RUN
