Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:08:57,2018-03-22 16:09:21,"23,267s",PASSED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:08:58,2018-03-22 16:09:18,"20,041s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:08:58,2018-03-22 16:09:02,"3,830s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:09:02,2018-03-22 16:09:03,"1,222s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:09:03,2018-03-22 16:09:13,"9,870s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:09:13,2018-03-22 16:09:16,"2,327s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:09:16,2018-03-22 16:09:16,"0,313s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:09:16,2018-03-22 16:09:16,"0,166s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:09:16,2018-03-22 16:09:18,"1,939s",PASSED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:09:18,2018-03-22 16:09:20,"1,804s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:09:18,2018-03-22 16:09:19,"1,185s",PASSED
takeScreenshot,Chrome 64.0.3282.167,,2018-03-22 16:09:19,2018-03-22 16:09:20,"0,346s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-22 16:09:20,2018-03-22 16:09:20,"0,002s",NOT_RUN
