Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:15:03,2018-03-22 16:15:27,"23,852s",PASSED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:15:04,2018-03-22 16:15:25,"20,804s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:15:04,2018-03-22 16:15:08,"3,808s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:15:08,2018-03-22 16:15:09,"1,210s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:15:09,2018-03-22 16:15:20,"11,137s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:15:20,2018-03-22 16:15:22,"1,796s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:15:22,2018-03-22 16:15:23,"0,332s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:15:23,2018-03-22 16:15:23,"0,162s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:15:23,2018-03-22 16:15:25,"1,930s",PASSED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:15:25,2018-03-22 16:15:26,"1,755s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:15:25,2018-03-22 16:15:26,"1,095s",PASSED
takeScreenshot,Chrome 64.0.3282.167,,2018-03-22 16:15:26,2018-03-22 16:15:26,"0,324s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-22 16:15:26,2018-03-22 16:15:26,"0,002s",NOT_RUN
