Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_LogoutTS,Chrome 64.0.3282.167,,2018-03-22 16:17:21,2018-03-22 16:17:46,"24,700s",PASSED
,,,,,,
Test Cases/Login/LoginTC,Chrome 64.0.3282.167,,2018-03-22 16:17:22,2018-03-22 16:17:43,"21,216s",PASSED
openBrowser,Chrome 64.0.3282.167,,2018-03-22 16:17:22,2018-03-22 16:17:26,"3,610s",PASSED
maximizeWindow,Chrome 64.0.3282.167,,2018-03-22 16:17:26,2018-03-22 16:17:27,"1,276s",PASSED
navigateToUrl,Chrome 64.0.3282.167,,2018-03-22 16:17:27,2018-03-22 16:17:38,"10,984s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:17:38,2018-03-22 16:17:40,"2,006s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:17:40,2018-03-22 16:17:41,"0,392s",PASSED
setText,Chrome 64.0.3282.167,,2018-03-22 16:17:41,2018-03-22 16:17:41,"0,190s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:17:41,2018-03-22 16:17:43,"1,983s",PASSED
,,,,,,
Test Cases/LogOut/LogOutTC,Chrome 64.0.3282.167,,2018-03-22 16:17:43,2018-03-22 16:17:45,"1,977s",PASSED
click,Chrome 64.0.3282.167,,2018-03-22 16:17:43,2018-03-22 16:17:44,"1,357s",PASSED
takeScreenshot,Chrome 64.0.3282.167,,2018-03-22 16:17:44,2018-03-22 16:17:45,"0,352s",PASSED
closeBrowser,Chrome 64.0.3282.167,,2018-03-22 16:17:45,2018-03-22 16:17:45,"0,002s",NOT_RUN
